EventType;Timestamp;DeviceID;User  ID;Details;Value;fl_work;work_time_per
ПроверкаСистемныхЛогов;10.10.2023 21:19;Банкомат67;Пользователь5;Проверка системных логов в Банкомат67;Ошибок не найдено;0;70
ПроверкаЭнергоснабжения;10.10.2023 21:21;Банкомат34;Пользователь41;Проверка состояния энергоснабжения в Банкомат34;Энергоснабжение в порядке;0;90
ОшибкаСинхронизацииДанных;10.10.2023 21:25;Банкомат55;Пользователь38;Ошибка синхронизации данных в Банкомат55;Проблема с сетью;0;58
ТестированиеСистемы;10.10.2023 21:30;Банкомат68;Пользователь39;Тестирование системы в Банкомат68;Все системы работают;1;82
ПроверкаСостоянияКарт;10.10.2023 21:32;Банкомат37;Пользователь70;Проверка состояния карт в Банкомат37;Все карты в порядке;0;96
УстановкаОбновлений;10.10.2023 21:32;Банкомат74;Пользователь23;Установка обновлений в Банкомат74;Успешно;1;82
ПроверкаСистемныхЛогов;10.10.2023 21:33;Банкомат19;Пользователь41;Проверка системных логов в Банкомат19;Найдены ошибки;0;69
ПроверкаСостоянияКлавиатуры;10.10.2023 21:38;Банкомат63;Пользователь98;Проверка состояния клавиатуры в Банкомат63;Клавиатура работает;1;62
ОтказВОбслуживании;10.10.2023 21:41;Банкомат87;Пользователь91;Отказ в обслуживании в Банкомат87;Техническая ошибка;0;54
УстановкаОбновлений;10.10.2023 21:43;Банкомат77;Пользователь89;Установка обновлений в Банкомат77;Успешно;0;57
ОбновлениеПрограммногоОбеспечения;10.10.2023 21:43;Банкомат68;Пользователь44;Обновление ПО в Банкомат68;Успешно;1;89
ОтказВОбслуживании;10.10.2023 21:48;Банкомат6;Пользователь52;Отказ в обслуживании в Банкомат6;Нет наличных;1;72
ЗаменаКартриджа;10.10.2023 21:51;Банкомат15;Пользователь8;Замена картриджа в Банкомат15;Не удалось;0;73
ВходПользователя;10.10.2023 21:54;Банкомат25;Пользователь99;Пользователь Пользователь99 вошел в систему в Банкомат25;;0;61
ПроверкаОбновлений;10.10.2023 21:59;Банкомат87;Пользователь53;Проверка обновлений в Банкомат87;Обновления доступны;1;63
СостояниеУстройстваИзменено;10.10.2023 22:02;Банкомат59;Пользователь17;Состояние устройства Банкомат59 изменилось;Открыто;0;62
ПроблемаСоСвязью;10.10.2023 22:05;Банкомат30;Пользователь88;Проблема со связью в Банкомат30;Потеря соединения;0;76
ЗагрузкаПроцессораВысокая;10.10.2023 22:07;Банкомат12;Пользователь2;Высокая загрузка процессора в Банкомат12;93;1;56
ОшибкаКарт;10.10.2023 22:09;Банкомат15;Пользователь89;Ошибка при считывании карты в Банкомат15;Карта повреждена;0;56
ОжиданиеПользователя;10.10.2023 22:12;Банкомат89;Пользователь80;Ожидание действия от пользователя в Банкомат89;;0;62
ОшибкаПриемаКупюр;10.10.2023 22:13;Банкомат75;Пользователь55;Ошибка приема купюр в Банкомат75;Купюра зажевана;1;79
ОшибкаСинхронизацииДанных;10.10.2023 22:17;Банкомат35;Пользователь75;Ошибка синхронизации данных в Банкомат35;Неверные данные;0;57
ОбслуживаниеТребуется;10.10.2023 22:19;Банкомат85;Пользователь14;Требуется обслуживание Банкомат85;Профилактическое;0;89
ЗаполнениеКассеты;10.10.2023 22:23;Банкомат64;Пользователь56;Кассета заполнена в Банкомат64;1632;0;99
ОшибкаКарт;10.10.2023 22:24;Банкомат12;Пользователь30;Ошибка при считывании карты в Банкомат12;Карта не распознана;0;54
ОшибкаСинхронизацииДанных;10.10.2023 22:28;Банкомат60;Пользователь41;Ошибка синхронизации данных в Банкомат60;Неверные данные;0;82
ЗагрузкаПроцессораВысокая;10.10.2023 22:29;Банкомат73;Пользователь47;Высокая загрузка процессора в Банкомат73;93;1;79
СостояниеКартриджа;10.10.2023 22:31;Банкомат64;Пользователь39;Состояние картриджа проверено в Банкомат64;Полный;1;72
СостояниеКартриджа;10.10.2023 22:32;Банкомат74;Пользователь67;Состояние картриджа проверено в Банкомат74;Пустой;0;94
ОбслуживаниеТребуется;10.10.2023 22:32;Банкомат85;Пользователь46;Требуется обслуживание Банкомат85;Техническое;0;82
ПроверкаСостоянияКлавиатуры;10.10.2023 22:36;Банкомат19;Пользователь97;Проверка состояния клавиатуры в Банкомат19;Клавиатура работает;1;74
ПроверкаЖесткогоДиска;10.10.2023 22:38;Банкомат18;Пользователь27;Проверка жесткого диска в Банкомат18;29;0;97
ВыходПользователя;10.10.2023 22:40;Банкомат84;Пользователь19;Пользователь Пользователь19 вышел из системы в Банкомат84;;1;56
ПроблемаСоСвязью;10.10.2023 22:42;Банкомат41;Пользователь21;Проблема со связью в Банкомат41;Потеря соединения;1;89
ОшибкаСети;10.10.2023 22:45;Банкомат36;Пользователь64;Ошибка сети в Банкомат36;Потеря пакетов;0;93
СостояниеКартриджа;10.10.2023 22:49;Банкомат79;Пользователь70;Состояние картриджа проверено в Банкомат79;Пустой;1;61
ПроверкаСостоянияСвязи;10.10.2023 22:49;Банкомат90;Пользователь38;Проверка состояния связи в Банкомат90;Плохое;0;63
ПроверкаСостоянияСвязи;10.10.2023 22:52;Банкомат99;Пользователь94;Проверка состояния связи в Банкомат99;Плохое;0;89
ЗагрузкаПроцессораВысокая;10.10.2023 22:55;Банкомат24;Пользователь68;Высокая загрузка процессора в Банкомат24;93;1;68
ВыходПользователя;10.10.2023 22:56;Банкомат8;Пользователь36;Пользователь Пользователь36 вышел из системы в Банкомат8;;0;95
ОтказВОбслуживании;10.10.2023 23:00;Банкомат22;Пользователь87;Отказ в обслуживании в Банкомат22;Нет наличных;1;53
ОбслуживаниеТребуется;10.10.2023 23:03;Банкомат69;Пользователь25;Требуется обслуживание Банкомат69;Техническое;0;50
ПроверкаБаланс;10.10.2023 23:03;Банкомат9;Пользователь53;Проверка баланса пользователем Пользователь53 в Банкомат9;754;0;63
ОшибкаЖесткогоДиска;10.10.2023 23:06;Банкомат39;Пользователь58;Ошибка жесткого диска в Банкомат39;Ошибка чтения;0;55
ОбслуживаниеТребуется;10.10.2023 23:09;Банкомат83;Пользователь60;Требуется обслуживание Банкомат83;Профилактическое;1;70
ПроверкаЭнергоснабжения;10.10.2023 23:12;Банкомат50;Пользователь61;Проверка состояния энергоснабжения в Банкомат50;Проблемы с энергоснабжением;1;84
ОбновлениеПрограммногоОбеспечения;10.10.2023 23:12;Банкомат41;Пользователь1;Обновление ПО в Банкомат41;Не удалось;1;88
ВнесениеНаличных;10.10.2023 23:14;Банкомат20;Пользователь73;Пользователь Пользователь73 внес 411 рублей в Банкомат20;411;0;70
ЗажеваннаяКупюра;10.10.2023 23:19;Банкомат71;Пользователь84;Купюра зажевана в Банкомат71;100;0;95
ВыходПользователя;10.10.2023 23:19;Банкомат17;Пользователь34;Пользователь Пользователь34 вышел из системы в Банкомат17;;1;74
ОбслуживаниеТребуется;10.10.2023 23:19;Банкомат62;Пользователь23;Требуется обслуживание Банкомат62;Профилактическое;0;53
СнятиеНаличными;10.10.2023 23:20;Банкомат19;Пользователь9;Пользователь Пользователь9 снял 131 рублей с Банкомат19;131;1;83
ЗаменаКартриджа;10.10.2023 23:24;Банкомат69;Пользователь28;Замена картриджа в Банкомат69;Успешно;1;61
ПроверкаБаланс;10.10.2023 23:28;Банкомат76;Пользователь34;Проверка баланса пользователем Пользователь34 в Банкомат76;673;1;90
ОшибкаКарт;10.10.2023 23:30;Банкомат9;Пользователь100;Ошибка при считывании карты в Банкомат9;Карта не распознана;1;70
ВыходПользователя;10.10.2023 23:35;Банкомат5;Пользователь82;Пользователь Пользователь82 вышел из системы в Банкомат5;;1;77
ПроверкаОбновлений;10.10.2023 23:39;Банкомат61;Пользователь98;Проверка обновлений в Банкомат61;Обновления отсутствуют;1;75
ВыходПользователя;10.10.2023 23:42;Банкомат87;Пользователь74;Пользователь Пользователь74 вышел из системы в Банкомат87;;1;52
ПроверкаОбновлений;10.10.2023 23:43;Банкомат40;Пользователь5;Проверка обновлений в Банкомат40;Обновления отсутствуют;0;93
СостояниеПриемаКупюр;10.10.2023 23:47;Банкомат74;Пользователь39;Состояние устройства приема купюр в Банкомат74 проверено;Работает;1;90
ЗавершениеТранзакции;10.10.2023 23:52;Банкомат89;Пользователь98;Транзакция завершена в Банкомат89;Успешно;0;77
ПроверкаЖесткогоДиска;10.10.2023 23:54;Банкомат9;Пользователь98;Проверка жесткого диска в Банкомат9;61;1;61
ЗагрузкаПроцессораВысокая;10.10.2023 23:59;Банкомат56;Пользователь20;Высокая загрузка процессора в Банкомат56;99;1;97
ОшибкаКарт;11.10.2023 0:03;Банкомат69;Пользователь97;Ошибка при считывании карты в Банкомат69;Карта повреждена;1;92
СбросНастроек;11.10.2023 0:03;Банкомат82;Пользователь62;Сброс настроек в Банкомат82;Настройки сброшены;0;92
ВнесениеНаличных;11.10.2023 0:06;Банкомат86;Пользователь26;Пользователь Пользователь26 внес 912 рублей в Банкомат86;912;1;52
ОбработкаЗапроса;11.10.2023 0:07;Банкомат4;Пользователь83;Обработка запроса пользователя Пользователь83 в Банкомат4;;1;54
ЗагрузкаПроцессораВысокая;11.10.2023 0:12;Банкомат5;Пользователь68;Высокая загрузка процессора в Банкомат5;86;1;78
ОшибкаТехническая;11.10.2023 0:12;Банкомат27;Пользователь88;Техническая ошибка в Банкомат27;Ошибка связи;1;83
ОбновлениеБезопасности;11.10.2023 0:13;Банкомат18;Пользователь48;Обновление систем безопасности в Банкомат18;Не удалось;1;93
ОшибкаСети;11.10.2023 0:14;Банкомат11;Пользователь76;Ошибка сети в Банкомат11;Потеря пакетов;1;72
Предупреждение;11.10.2023 0:19;Банкомат82;Пользователь64;Предупреждение в Банкомат82;Низкий уровень наличных;0;77
ОбновлениеПрограммногоОбеспечения;11.10.2023 0:24;Банкомат65;Пользователь10;Обновление ПО в Банкомат65;Не удалось;1;71
ЗавершениеТранзакции;11.10.2023 0:29;Банкомат60;Пользователь19;Транзакция завершена в Банкомат60;Не удалось;0;86
СостояниеПриемаКупюр;11.10.2023 0:32;Банкомат48;Пользователь67;Состояние устройства приема купюр в Банкомат48 проверено;Работает;0;57
ВходПользователя;11.10.2023 0:36;Банкомат23;Пользователь71;Пользователь Пользователь71 вошел в систему в Банкомат23;;0;96
ОжиданиеПользователя;11.10.2023 0:38;Банкомат49;Пользователь3;Ожидание действия от пользователя в Банкомат49;;1;67
ПерезагрузкаУстройства;11.10.2023 0:42;Банкомат55;Пользователь27;Устройство Банкомат55 перезагружено;;1;62
ПроверкаБаланс;11.10.2023 0:45;Банкомат7;Пользователь76;Проверка баланса пользователем Пользователь76 в Банкомат7;3130;1;55
ПроверкаОбновлений;11.10.2023 0:47;Банкомат83;Пользователь89;Проверка обновлений в Банкомат83;Обновления доступны;0;65
ЗаменаКартриджа;11.10.2023 0:49;Банкомат18;Пользователь60;Замена картриджа в Банкомат18;Успешно;0;74
ПроверкаЭнергоснабжения;11.10.2023 0:50;Банкомат92;Пользователь52;Проверка состояния энергоснабжения в Банкомат92;Проблемы с энергоснабжением;0;95
ПроверкаЖесткогоДиска;11.10.2023 0:52;Банкомат63;Пользователь75;Проверка жесткого диска в Банкомат63;50;0;90
ТестированиеУстройства;11.10.2023 0:53;Банкомат36;Пользователь13;Тестирование устройства Банкомат36 завершено;Не удалось;0;68
ПроверкаСостоянияКарт;11.10.2023 0:55;Банкомат98;Пользователь63;Проверка состояния карт в Банкомат98;Некоторые карты повреждены;1;59
ПроблемаСоСвязью;11.10.2023 0:57;Банкомат46;Пользователь43;Проблема со связью в Банкомат46;Слабый сигнал;0;77
ОшибкаСинхронизацииДанных;11.10.2023 1:01;Банкомат88;Пользователь82;Ошибка синхронизации данных в Банкомат88;Проблема с сетью;1;93
ПроверкаОбновлений;11.10.2023 1:04;Банкомат30;Пользователь26;Проверка обновлений в Банкомат30;Обновления отсутствуют;0;75
ОбработкаЗапроса;11.10.2023 1:06;Банкомат99;Пользователь79;Обработка запроса пользователя Пользователь79 в Банкомат99;;1;94
Предупреждение;11.10.2023 1:11;Банкомат4;Пользователь47;Предупреждение в Банкомат4;Ошибка связи;0;85
ПроверкаЖесткогоДиска;11.10.2023 1:13;Банкомат97;Пользователь92;Проверка жесткого диска в Банкомат97;5;1;74
СостояниеКартриджа;11.10.2023 1:15;Банкомат87;Пользователь96;Состояние картриджа проверено в Банкомат87;Пустой;0;96
ПроверкаКассеты;11.10.2023 1:17;Банкомат79;Пользователь23;Проверка состояния кассеты в Банкомат79;Хорошее;1;61
ОшибкаСети;11.10.2023 1:21;Банкомат68;Пользователь75;Ошибка сети в Банкомат68;Потеря пакетов;1;60
ЗавершениеТранзакции;11.10.2023 1:23;Банкомат19;Пользователь22;Транзакция завершена в Банкомат19;Не удалось;1;84
ПроверкаСистемныхЛогов;11.10.2023 1:25;Банкомат57;Пользователь71;Проверка системных логов в Банкомат57;Ошибок не найдено;0;70
ЗавершениеТранзакции;11.10.2023 1:26;Банкомат74;Пользователь90;Транзакция завершена в Банкомат74;Успешно;1;76
ОбновлениеБезопасности;11.10.2023 1:27;Банкомат55;Пользователь74;Обновление систем безопасности в Банкомат55;Не удалось;1;65
ОшибкаПриемаКупюр;11.10.2023 1:27;Банкомат49;Пользователь82;Ошибка приема купюр в Банкомат49;Купюра повреждена;0;55
ОшибкаСинхронизацииДанных;11.10.2023 1:30;Банкомат35;Пользователь8;Ошибка синхронизации данных в Банкомат35;Неверные данные;0;82
ОбслуживаниеТребуется;11.10.2023 1:33;Банкомат51;Пользователь73;Требуется обслуживание Банкомат51;Профилактическое;1;54
СигнализацияОшибки;11.10.2023 1:38;Банкомат20;Пользователь21;Сигнализация ошибки в Банкомат20;Ошибка связи;0;85
ОбработкаЗапроса;11.10.2023 1:39;Банкомат40;Пользователь82;Обработка запроса пользователя Пользователь82 в Банкомат40;;0;74
ПроверкаЭнергоснабжения;11.10.2023 1:39;Банкомат25;Пользователь67;Проверка состояния энергоснабжения в Банкомат25;Проблемы с энергоснабжением;1;81
ОбновлениеПрограммногоОбеспечения;11.10.2023 1:42;Банкомат55;Пользователь46;Обновление ПО в Банкомат55;Успешно;1;85
ЗаменаКартриджа;11.10.2023 1:46;Банкомат93;Пользователь17;Замена картриджа в Банкомат93;Успешно;0;62
ОшибкаВыдачиНаличности;11.10.2023 1:47;Банкомат47;Пользователь57;Ошибка выдачи наличности в Банкомат47;Купюры отсутствуют;0;57
ПроверкаСистемныхЛогов;11.10.2023 1:48;Банкомат70;Пользователь68;Проверка системных логов в Банкомат70;Ошибок не найдено;1;51
ОшибкаЖесткогоДиска;11.10.2023 1:51;Банкомат32;Пользователь25;Ошибка жесткого диска в Банкомат32;Ошибка чтения;0;86
ПроверкаСостоянияСвязи;11.10.2023 1:55;Банкомат13;Пользователь87;Проверка состояния связи в Банкомат13;Хорошее;0;100
ВходПользователя;11.10.2023 1:57;Банкомат27;Пользователь67;Пользователь Пользователь67 вошел в систему в Банкомат27;;1;70
ПроверкаСостоянияКарт;11.10.2023 2:00;Банкомат61;Пользователь81;Проверка состояния карт в Банкомат61;Все карты в порядке;1;97
АварийноеВыключение;11.10.2023 2:03;Банкомат76;Пользователь29;Аварийное отключение устройства Банкомат76;Устройство отключено;1;54
ПроверкаСостоянияПечати;11.10.2023 2:07;Банкомат19;Пользователь19;Проверка состояния печати в Банкомат19;Принтер не работает;0;94
ОтказВОбслуживании;11.10.2023 2:09;Банкомат80;Пользователь24;Отказ в обслуживании в Банкомат80;Техническая ошибка;1;52
ВнесениеНаличных;11.10.2023 2:10;Банкомат85;Пользователь67;Пользователь Пользователь67 внес 873 рублей в Банкомат85;873;0;79
ОбновлениеПрограммногоОбеспечения;11.10.2023 2:12;Банкомат49;Пользователь71;Обновление ПО в Банкомат49;Не удалось;1;76
СнятиеНаличными;11.10.2023 2:13;Банкомат27;Пользователь9;Пользователь Пользователь9 снял 432 рублей с Банкомат27;432;1;55
ОшибкаКарт;11.10.2023 2:15;Банкомат45;Пользователь75;Ошибка при считывании карты в Банкомат45;Карта не распознана;0;96
ОшибкаОбновления;11.10.2023 2:17;Банкомат14;Пользователь25;Ошибка обновления в Банкомат14;Ошибка совместимости;0;91
ОшибкаВыдачиНаличности;11.10.2023 2:20;Банкомат68;Пользователь4;Ошибка выдачи наличности в Банкомат68;Купюры отсутствуют;0;53
ВыходПользователя;11.10.2023 2:20;Банкомат92;Пользователь1;Пользователь Пользователь1 вышел из системы в Банкомат92;;1;98
ПроверкаЭнергоснабжения;11.10.2023 2:24;Банкомат65;Пользователь40;Проверка состояния энергоснабжения в Банкомат65;Энергоснабжение в порядке;1;59
ЗавершениеТранзакции;11.10.2023 2:26;Банкомат57;Пользователь85;Транзакция завершена в Банкомат57;Успешно;1;68
ВыходПользователя;11.10.2023 2:28;Банкомат74;Пользователь18;Пользователь Пользователь18 вышел из системы в Банкомат74;;1;70
ОшибкаЖесткогоДиска;11.10.2023 2:31;Банкомат73;Пользователь42;Ошибка жесткого диска в Банкомат73;Ошибка чтения;1;90
ПроверкаЖесткогоДиска;11.10.2023 2:31;Банкомат15;Пользователь21;Проверка жесткого диска в Банкомат15;31;1;100
ПроверкаЭнергоснабжения;11.10.2023 2:32;Банкомат70;Пользователь40;Проверка состояния энергоснабжения в Банкомат70;Энергоснабжение в порядке;1;50
ОшибкаВыдачиНаличности;11.10.2023 2:33;Банкомат63;Пользователь26;Ошибка выдачи наличности в Банкомат63;Купюры отсутствуют;0;94
ОжиданиеПользователя;11.10.2023 2:35;Банкомат96;Пользователь8;Ожидание действия от пользователя в Банкомат96;;0;97
ЗаполнениеКассеты;11.10.2023 2:38;Банкомат18;Пользователь49;Кассета заполнена в Банкомат18;1905;1;61
ЗаменаКартриджа;11.10.2023 2:41;Банкомат10;Пользователь84;Замена картриджа в Банкомат10;Не удалось;0;66
ЗаменаКартриджа;11.10.2023 2:43;Банкомат82;Пользователь68;Замена картриджа в Банкомат82;Успешно;1;68
ОбновлениеПрограммногоОбеспечения;11.10.2023 2:43;Банкомат66;Пользователь11;Обновление ПО в Банкомат66;Успешно;0;78
ПроверкаСостоянияКарт;11.10.2023 2:47;Банкомат71;Пользователь45;Проверка состояния карт в Банкомат71;Некоторые карты повреждены;0;51
ПроверкаСистемныхЛогов;11.10.2023 2:47;Банкомат89;Пользователь48;Проверка системных логов в Банкомат89;Найдены ошибки;1;79
ПроверкаСостоянияПечати;11.10.2023 2:52;Банкомат27;Пользователь65;Проверка состояния печати в Банкомат27;Принтер работает;1;56
ОшибкаОбновления;11.10.2023 2:57;Банкомат59;Пользователь74;Ошибка обновления в Банкомат59;Ошибка совместимости;0;71
ПроверкаСостоянияСвязи;11.10.2023 3:00;Банкомат2;Пользователь50;Проверка состояния связи в Банкомат2;Хорошее;0;53
ПроверкаСостоянияСвязи;11.10.2023 3:01;Банкомат50;Пользователь58;Проверка состояния связи в Банкомат50;Хорошее;1;59
ВыходПользователя;11.10.2023 3:03;Банкомат47;Пользователь3;Пользователь Пользователь3 вышел из системы в Банкомат47;;0;90
Предупреждение;11.10.2023 3:06;Банкомат29;Пользователь80;Предупреждение в Банкомат29;Ошибка связи;1;86
ПроверкаСостоянияСвязи;11.10.2023 3:10;Банкомат98;Пользователь96;Проверка состояния связи в Банкомат98;Плохое;1;87
СнятиеНаличными;11.10.2023 3:14;Банкомат81;Пользователь1;Пользователь Пользователь1 снял 504 рублей с Банкомат81;504;1;62
ЗаменаКассеты;11.10.2023 3:17;Банкомат97;Пользователь93;Кассета заменена в Банкомат97;1898;1;82
ВнесениеНаличных;11.10.2023 3:19;Банкомат38;Пользователь61;Пользователь Пользователь61 внес 879 рублей в Банкомат38;879;1;93
ОжиданиеПользователя;11.10.2023 3:21;Банкомат97;Пользователь54;Ожидание действия от пользователя в Банкомат97;;1;92
УстановкаОбновлений;11.10.2023 3:22;Банкомат63;Пользователь36;Установка обновлений в Банкомат63;Успешно;1;73
ЗагрузкаПроцессораВысокая;11.10.2023 3:22;Банкомат55;Пользователь29;Высокая загрузка процессора в Банкомат55;97;0;79
ОшибкаОбновления;11.10.2023 3:25;Банкомат89;Пользователь71;Ошибка обновления в Банкомат89;Ошибка совместимости;1;92
ПроверкаЭнергоснабжения;11.10.2023 3:26;Банкомат85;Пользователь81;Проверка состояния энергоснабжения в Банкомат85;Энергоснабжение в порядке;1;71
СостояниеКартриджа;11.10.2023 3:27;Банкомат86;Пользователь56;Состояние картриджа проверено в Банкомат86;Полный;0;57
ПроверкаОбновлений;11.10.2023 3:30;Банкомат52;Пользователь2;Проверка обновлений в Банкомат52;Обновления отсутствуют;1;93
ВнесениеНаличных;11.10.2023 3:32;Банкомат80;Пользователь35;Пользователь Пользователь35 внес 383 рублей в Банкомат80;383;0;98
СигнализацияОшибки;11.10.2023 3:34;Банкомат26;Пользователь45;Сигнализация ошибки в Банкомат26;Ошибка механизма;0;95
ОшибкаСинхронизацииДанных;11.10.2023 3:38;Банкомат23;Пользователь8;Ошибка синхронизации данных в Банкомат23;Проблема с сетью;1;81
ТестированиеУстройства;11.10.2023 3:38;Банкомат1;Пользователь63;Тестирование устройства Банкомат1 завершено;Успешно;0;77
ПроверкаОбновлений;11.10.2023 3:40;Банкомат68;Пользователь52;Проверка обновлений в Банкомат68;Обновления доступны;0;74
ПроверкаСостоянияКлавиатуры;11.10.2023 3:42;Банкомат32;Пользователь27;Проверка состояния клавиатуры в Банкомат32;Клавиатура работает;1;71
СостояниеУстройстваИзменено;11.10.2023 3:44;Банкомат90;Пользователь10;Состояние устройства Банкомат90 изменилось;Закрыто;1;64
ЗаменаКартриджа;11.10.2023 3:48;Банкомат64;Пользователь4;Замена картриджа в Банкомат64;Успешно;1;74
ПроблемаСоСвязью;11.10.2023 3:51;Банкомат35;Пользователь65;Проблема со связью в Банкомат35;Потеря соединения;1;77
ОшибкаСети;11.10.2023 3:55;Банкомат64;Пользователь86;Ошибка сети в Банкомат64;Потеря пакетов;0;72
ЗаполнениеКассеты;11.10.2023 3:59;Банкомат15;Пользователь52;Кассета заполнена в Банкомат15;1056;1;70
ОшибкаСети;11.10.2023 4:03;Банкомат72;Пользователь87;Ошибка сети в Банкомат72;Потеря пакетов;1;95
ЗагрузкаПроцессораВысокая;11.10.2023 4:08;Банкомат33;Пользователь45;Высокая загрузка процессора в Банкомат33;97;1;86
ВыходПользователя;11.10.2023 4:09;Банкомат95;Пользователь73;Пользователь Пользователь73 вышел из системы в Банкомат95;;1;91
ЗаменаКассеты;11.10.2023 4:11;Банкомат28;Пользователь94;Кассета заменена в Банкомат28;1394;0;82
СбросНастроек;11.10.2023 4:11;Банкомат89;Пользователь17;Сброс настроек в Банкомат89;Настройки сброшены;0;79
СигнализацияОшибки;11.10.2023 4:14;Банкомат47;Пользователь86;Сигнализация ошибки в Банкомат47;Ошибка связи;1;81
ВосстановлениеСвязи;11.10.2023 4:15;Банкомат52;Пользователь19;Связь восстановлена в Банкомат52;;1;92
ОшибкаКарт;11.10.2023 4:19;Банкомат85;Пользователь37;Ошибка при считывании карты в Банкомат85;Карта не распознана;1;72
СнятиеНаличными;11.10.2023 4:22;Банкомат21;Пользователь93;Пользователь Пользователь93 снял 880 рублей с Банкомат21;880;1;89
ОбработкаЗапроса;11.10.2023 4:23;Банкомат96;Пользователь6;Обработка запроса пользователя Пользователь6 в Банкомат96;;1;86
ОбновлениеБезопасности;11.10.2023 4:27;Банкомат12;Пользователь49;Обновление систем безопасности в Банкомат12;Успешно;1;66
Предупреждение;11.10.2023 4:30;Банкомат28;Пользователь12;Предупреждение в Банкомат28;Низкий уровень наличных;1;66
СнятиеНаличными;11.10.2023 4:31;Банкомат22;Пользователь82;Пользователь Пользователь82 снял 571 рублей с Банкомат22;571;1;57
ЗаполнениеКассеты;11.10.2023 4:36;Банкомат12;Пользователь100;Кассета заполнена в Банкомат12;1610;1;60
ПроверкаКассеты;11.10.2023 4:39;Банкомат24;Пользователь100;Проверка состояния кассеты в Банкомат24;Нуждается в замене;1;87
ТестированиеУстройства;11.10.2023 4:40;Банкомат27;Пользователь66;Тестирование устройства Банкомат27 завершено;Успешно;0;60
СостояниеКартриджа;11.10.2023 4:42;Банкомат83;Пользователь46;Состояние картриджа проверено в Банкомат83;Полный;1;81
ПроверкаКассеты;11.10.2023 4:42;Банкомат91;Пользователь90;Проверка состояния кассеты в Банкомат91;Хорошее;0;68
ЗавершениеТранзакции;11.10.2023 4:43;Банкомат25;Пользователь4;Транзакция завершена в Банкомат25;Не удалось;1;99
ОжиданиеПользователя;11.10.2023 4:45;Банкомат82;Пользователь40;Ожидание действия от пользователя в Банкомат82;;1;76
ОбработкаЗапроса;11.10.2023 4:49;Банкомат74;Пользователь89;Обработка запроса пользователя Пользователь89 в Банкомат74;;0;51
СнятиеНаличными;11.10.2023 4:49;Банкомат70;Пользователь59;Пользователь Пользователь59 снял 807 рублей с Банкомат70;807;0;95
ЗаполнениеКассеты;11.10.2023 4:49;Банкомат81;Пользователь37;Кассета заполнена в Банкомат81;1873;0;60
ЗажеваннаяКупюра;11.10.2023 4:50;Банкомат10;Пользователь10;Купюра зажевана в Банкомат10;500;0;92
ПроверкаСостоянияПечати;11.10.2023 4:54;Банкомат44;Пользователь16;Проверка состояния печати в Банкомат44;Принтер не работает;1;66
ВходПользователя;11.10.2023 4:57;Банкомат82;Пользователь14;Пользователь Пользователь14 вошел в систему в Банкомат82;;1;77
ПроверкаОбновлений;11.10.2023 4:59;Банкомат65;Пользователь83;Проверка обновлений в Банкомат65;Обновления доступны;0;97
ВходПользователя;11.10.2023 5:04;Банкомат52;Пользователь4;Пользователь Пользователь4 вошел в систему в Банкомат52;;0;87
ЗаменаКассеты;11.10.2023 5:07;Банкомат87;Пользователь56;Кассета заменена в Банкомат87;1268;0;99
ЗавершениеТранзакции;11.10.2023 5:08;Банкомат1;Пользователь100;Транзакция завершена в Банкомат1;Успешно;0;91
ОбновлениеПрограммногоОбеспечения;11.10.2023 5:10;Банкомат63;Пользователь38;Обновление ПО в Банкомат63;Успешно;0;73
ПроверкаСостоянияКлавиатуры;11.10.2023 5:15;Банкомат13;Пользователь44;Проверка состояния клавиатуры в Банкомат13;Клавиатура не работает;1;58
ПроверкаСистемныхЛогов;11.10.2023 5:16;Банкомат70;Пользователь62;Проверка системных логов в Банкомат70;Найдены ошибки;0;88
ПерезагрузкаУстройства;11.10.2023 5:21;Банкомат53;Пользователь99;Устройство Банкомат53 перезагружено;;0;63
ОшибкаСети;11.10.2023 5:23;Банкомат69;Пользователь4;Ошибка сети в Банкомат69;Потеря пакетов;0;67
ЗаполнениеКассеты;11.10.2023 5:25;Банкомат39;Пользователь86;Кассета заполнена в Банкомат39;1354;0;72
ОбновлениеБезопасности;11.10.2023 5:28;Банкомат94;Пользователь27;Обновление систем безопасности в Банкомат94;Успешно;1;52
ПроверкаСистемныхЛогов;11.10.2023 5:32;Банкомат91;Пользователь40;Проверка системных логов в Банкомат91;Найдены ошибки;0;75
ВходПользователя;11.10.2023 5:36;Банкомат31;Пользователь31;Пользователь Пользователь31 вошел в систему в Банкомат31;;0;97
ПроверкаСостоянияСвязи;11.10.2023 5:38;Банкомат13;Пользователь6;Проверка состояния связи в Банкомат13;Хорошее;0;85
ОшибкаОбновления;11.10.2023 5:43;Банкомат93;Пользователь56;Ошибка обновления в Банкомат93;Ошибка сети;1;56
ОшибкаПриемаКупюр;11.10.2023 5:45;Банкомат29;Пользователь2;Ошибка приема купюр в Банкомат29;Купюра зажевана;1;85
ВосстановлениеСвязи;11.10.2023 5:48;Банкомат18;Пользователь81;Связь восстановлена в Банкомат18;;1;63
СостояниеУстройстваИзменено;11.10.2023 5:52;Банкомат68;Пользователь46;Состояние устройства Банкомат68 изменилось;Закрыто;1;58
ПроблемаСоСвязью;11.10.2023 5:57;Банкомат65;Пользователь40;Проблема со связью в Банкомат65;Слабый сигнал;0;62
